Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:50:25 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178130544853023 | Message Content: yea nat don’t say retard
Author Name: Ariana Rose🥀🖤 | Author Nickname: None | Author ID: 722644971299143781 | Sent At: 2021-01-30 20:53:42 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178955744280617 | Message Content: no you’re just a bitch
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:53:48 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805178982625837057 | Message Content: No I just have trauma that I'd like you to be respectful of
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:53:55 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179009976631336 | Message Content: https://tenor.com/view/retard-alert-south-park-gif-12254263
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:54:06 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179054340440124 | Message Content: i’ll stop now
Author Name: Ariana Rose🥀🖤 | Author Nickname: None | Author ID: 722644971299143781 | Sent At: 2021-01-30 20:54:07 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179060199096341 | Message Content: joking about mental disorders isn’t funny
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:54:07 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179061449916486 | Message Content: It's not a joke if it's seriously affecting people
Author Name: lotsorin | Author Nickname: Katy | Author ID: 405498995520176140 | Sent At: 2021-01-30 20:54:08 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179064238997525 | Message Content: Some things aren't funny 😭
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:54:25 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179136820772925 | Message Content: humour is selective
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:54:33 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179167649693739 | Message Content: No it still was
Author Name: lotsorin | Author Nickname: Katy | Author ID: 405498995520176140 | Sent At: 2021-01-30 20:54:38 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179190394617927 | Message Content: Things change anyway?
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:54:39 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179193376899112 | Message Content: People just didn't know back then
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:54:42 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179207532544012 | Message Content: Yeah it was
Author Name: lotsorin | Author Nickname: Katy | Author ID: 405498995520176140 | Sent At: 2021-01-30 20:54:51 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179244106743808 | Message Content: Doesn't mean its right to do so
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:54:51 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179246942879815 | Message Content: So what, that doesn't make it less disrespectful
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:54:58 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179276227772427 | Message Content: https://tenor.com/view/retard-alert-south-park-gif-12254263
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:55:06 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179306052812810 | Message Content: back in 1950s it was okay to say the N word, now it's a slur
Author Name: lotsorin | Author Nickname: Katy | Author ID: 405498995520176140 | Sent At: 2021-01-30 20:55:14 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179341838352404 | Message Content: Why are you being so immature fhjd
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:55:19 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179361861959730 | Message Content: what’s the n word
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:55:22 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179372927582208 | Message Content: Just because you can reclaim it doesn't mean I'm comfortable with you saying it
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:55:31 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179413121335306 | Message Content: google it
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:55:39 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179445592850442 | Message Content: google what
Author Name: Ariana Rose🥀🖤 | Author Nickname: None | Author ID: 722644971299143781 | Sent At: 2021-01-30 20:55:42 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179458524282890 | Message Content: and being able to reclaim it doesn’t justify using it as an insult
Author Name: Ariana Rose🥀🖤 | Author Nickname: None | Author ID: 722644971299143781 | Sent At: 2021-01-30 20:56:01 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179540136919080 | Message Content: i’m lesbian but it doesn’t mean i can go around calling people ||fags||
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:56:06 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179558919405608 | Message Content: https://tenor.com/view/ricky-berwick-we-be-fighting-bruh-fight-gif-12675481
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:56:18 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179608629903362 | Message Content: why did you ban
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:56:26 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179642235322369 | Message Content: smelly retard
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:56:30 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179659401560111 | Message Content: ugh
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:56:36 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179686794690590 | Message Content: https://tenor.com/view/retard-alert-south-park-gif-12254263
Author Name: Ariana Rose🥀🖤 | Author Nickname: None | Author ID: 722644971299143781 | Sent At: 2021-01-30 20:56:40 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179701932195850 | Message Content: i assume it auto banned?
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:56:40 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179703106601001 | Message Content: ppl are so immature it sometimes makes me laugh
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:56:56 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179770593607690 | Message Content: ikr
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:56:59 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179783616659467 | Message Content: i love faggots
Author Name: Ariana Rose🥀🖤 | Author Nickname: None | Author ID: 722644971299143781 | Sent At: 2021-01-30 20:57:43 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179964894478358 | Message Content: aren’t there staff members around
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:57:46 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805179979267964928 | Message Content: https://tenor.com/view/samesex-lgbt-lgbtq-lgbtqa-gay-gif-14454552
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:58:09 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180075841814559 | Message Content: Jas is doing work and Blank for some reason won't reply to my messages sooo
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:58:13 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180094275387403 | Message Content: and atlas isn't online
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:58:24 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180138802642984 | Message Content: should i leave ?
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:58:30 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180164219731988 | Message Content: That would be nice yes
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:58:43 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180219614822422 | Message Content: or wait until someone can ban you so your messages will be deleted too
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:58:56 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180272772513852 | Message Content: i am a nice guy
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:59:03 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180302259388446 | Message Content: just autistic
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:59:17 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180360262156388 | Message Content: I'm autistic too
Author Name: lotsorin | Author Nickname: Katy | Author ID: 405498995520176140 | Sent At: 2021-01-30 20:59:19 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180370130567230 | Message Content: I'm not sure if you can use that as an excuse...
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:59:25 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180392919269427 | Message Content: it doesn't allow you to get away with this behaviour
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:59:29 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180410275430451 | Message Content: i don’t process things well
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:59:34 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180433544380417 | Message Content: Neither do I
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 20:59:40 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180457565028393 | Message Content: But it doesn't excuse this either
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 20:59:46 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180483860168764 | Message Content: i’m apologetic
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 21:00:13 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180593515921428 | Message Content: That's great, then maybe next time don't do this when someone tells you it's uncomfortable for them to see those words
Author Name: lotsorin | Author Nickname: Katy | Author ID: 405498995520176140 | Sent At: 2021-01-30 21:00:19 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180619763482654 | Message Content: If you're really sorry you won't do this to any other servers too,,,
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 21:00:19 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180620224725051 | Message Content: see
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 21:00:21 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180628973650001 | Message Content: not hear
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 21:00:26 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180649030811738 | Message Content: Yeah exactly
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 21:00:52 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180758108143676 | Message Content: Being apologetic means almost nothing if you don't change the behaviour
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 21:01:00 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180793299009606 | Message Content: sorry ❄️
Author Name: lotsorin | Author Nickname: Katy | Author ID: 405498995520176140 | Sent At: 2021-01-30 21:01:18 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180866871164928 | Message Content: Well you're not really sorry are you
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 21:01:27 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180906360537098 | Message Content: i am
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 21:01:30 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180919958863922 | Message Content: how would u know
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 21:01:34 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180936710258728 | Message Content: “katy”
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 21:01:37 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180948487733268 | Message Content: Yeah it's not that hard to tell when you throw an insult next to an apology
Author Name: lotsorin | Author Nickname: Katy | Author ID: 405498995520176140 | Sent At: 2021-01-30 21:01:40 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180958793400371 | Message Content: You put a snowflake emoji??
Author Name: lotsorin | Author Nickname: Katy | Author ID: 405498995520176140 | Sent At: 2021-01-30 21:01:45 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805180982030368789 | Message Content: And that's not exactly a good thing
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 21:01:52 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805181011469533184 | Message Content: i like the snow
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 21:02:00 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805181043396575243 | Message Content: Hm maybe one day they'll grow up
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 21:02:13 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805181100866666547 | Message Content: I'm guessing you're finding this funny, because I'm really not
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 21:02:23 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805181141727969291 | Message Content: a little
Author Name: lotsorin | Author Nickname: Katy | Author ID: 405498995520176140 | Sent At: 2021-01-30 21:02:34 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805181188729077770 | Message Content: I dont understand how
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 21:02:43 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805181222619447346 | Message Content: Yeah me neither
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 21:02:43 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805181225559916594 | Message Content: 
Author Name: lotsorin | Author Nickname: Katy | Author ID: 405498995520176140 | Sent At: 2021-01-30 21:02:47 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805181241330630726 | Message Content: There must be something wrong in your head?? Because no one else does
Author Name: lotsorin | Author Nickname: Katy | Author ID: 405498995520176140 | Sent At: 2021-01-30 21:02:55 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805181275472134144 | Message Content: Like sorry to break it to you
Author Name: senõr suck my balls | Author Nickname: None | Author ID: 767886772960100352 | Sent At: 2021-01-30 21:02:55 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805181277057187860 | Message Content: i know a few friends
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 21:03:11 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805181343565873153 | Message Content: Then you all would benefit from some therapy
Author Name: Ducky 𓆏 | Author Nickname: None | Author ID: 597391214765015081 | Sent At: 2021-01-30 21:03:36 UTC | Channel Name: 🌱-talk | Channel ID: 686746727872593941 | Message ID: 805181448155693106 | Message Content: *thank you*
